word,id
abacería,0
comercio,1
tienda,2
colmado,3
abacial,4
monacal,5
monástico,6
abadengo,7
conventual,8
columna,9
capitel,10
coronamient,11
abad,12
superior,13
prior,14
rector,15
abadía,16
abadiato,17
monasterio,18
convento,19
cartuja,20
priorato,21
cenobio,22
abajadero,23
cuesta,24
pendiente,25
bajada,26
rampa,27
abajo,28
bajo,29
debajo,30
abalanzar,31
equilibrar,32
igualar,33
arremeter,34
embestir,35
acometer,36
abalear,37
separar,38
escoger,39
balear,40
tirotear,41
disparar,42
abalizar,43
señalar,44
señalizar,45
marcar,46
abalorio,47
cuentecilla,48
cuenta,49
canutillo,50
oropel,51
quincalla,52
lentejuela,53
abanderado,54
portaestandarte,55
defensor,56
paladín,57
abanderar,58
proteger,59
cobijar,60
amparar,61
registrar,62
matricular,63
alistar,64
enganchar,65
acaudillar,66
abandonado,67
solo,68
desvalido,69
indefenso,70
desamparado,71
desatendido,72
negligente,73
descuidado,74
desaliñado,75
sucio,76
desaseado,77
abandonar,78
desatender,79
entregar,80
desertar,81
largarse,82
marcharse,83
abandono,84
renuncia,85
cesión,86
abandonamiento,87
desamparo,88
desvalimiento,89
negligencia,90
desidia,91
dejadez,92
descuido,93
abanicar,94
ventilar,95
soplar,96
airear,97
abanico,98
abano,99
abanillo,100
aventador,101
ventilador,102
abaratamiento,103
rebaja,104
desvalorización,105
abaratar,106
rebajar,107
desvalorizar,108
devaluar,109
despreciar,110
abarcar,111
rodear,112
abrazar,113
ceñir,114
comprender,115
englobar,116
contener,117
incluir,118
incorporar,119
abarquillado,120
combado,121
alabeado,122
corvo,123
curvado,124
abarquillamiento,125
curvatura,126
alabeo,127
comba,128
abarquillar,129
curvar,130
abarracar,131
acampar,132
vivaquear,133
abarraganarse,134
amancebarse,135
abarrotar,136
atestar,137
llenar,138
colmar,139
abastecedor,140
proveedor,141
suministrador,142
abastecer,143
proveer,144
suministrar,145
surtir,146
aprovisionar,147
avituallar,148
dotar,149
equipar,150
abastecimiento,151
provisión,152
surtimiento,153
suministro,154
aprovisionamiento,155
abasto,156
abatatado,157
aturdido,158
avergonzado,159
abate,160
eclesiástico,161
presbítero,162
clérigo,163
abatido,164
decaído,165
desalentado,166
agotado,167
extenuado,168
descorazonado,169
ruin,170
abyecto,171
miserable,172
abatimiento,173
desaliento,174
descorazonamiento,175
descaecimiento,176
postración,177
agotamiento,178
cansancio,179
agobio,180
humillación,181
abyección,182
abatir,183
derribar,184
derrocar,185
hundir,186
humillar,187
avergonzar,188
desanimar,189
desalentar,190
abdicación,191
resignación,192
deposición,193
abdicar,194
resignar,195
dimitir,196
renunciar,197
traspasar,198
desistir,199
declinar,200
abdomen,201
vientre,202
barriga,203
panza,204
intestinos,205
tripa,206
cavidad,207
epigastrio,208
abdominal,209
ventral,210
intestinal,211
abecedario,212
alfabeto,213
abecé,214
silabario,215
catón,216
cartilla,217
aberración,218
desvío,219
extravío,220
desviación,221
perversión,222
error,223
equivocación,224
disparate,225
engaño,226
aberrar,227
desviarse,228
desencaminarse,229
errar,230
engañarse,231
equivocarse,232
abertura,233
boca,234
hendidura,235
agujero,236
boquete,237
orificio,238
hueco,239
abiertamente,240
